Wateryear,Month,Date,NDOI,WYindex,WYtype
2002,10,10/1/2001,2995,6.5,Dry
2002,10,10/3/2001,2197,6.5,Dry
2002,10,10/4/2001,2293,6.5,Dry
2002,10,10/5/2001,3173,6.5,Dry
2002,10,10/6/2001,4783,6.5,Dry
2002,10,10/7/2001,4410,6.5,Dry
2002,10,10/8/2001,4138,6.5,Dry
2002,10,10/9/2001,3582,6.5,Dry
2002,10,10/10/2001,3694,6.5,Dry
2002,10,10/11/2001,3388,6.5,Dry
2002,10,10/12/2001,3598,6.5,Dry
2002,10,10/13/2001,3198,6.5,Dry
2002,10,10/14/2001,2654,6.5,Dry
2002,10,10/2/2001,2039,6.5,Dry
2002,10,10/16/2001,3770,6.5,Dry
2002,10,10/17/2001,3120,6.5,Dry
2002,10,10/18/2001,3330,6.5,Dry
2002,10,10/19/2001,3500,6.5,Dry
2002,10,10/20/2001,3522,6.5,Dry
2002,10,10/21/2001,3494,6.5,Dry
2002,10,10/22/2001,5019,6.5,Dry
2002,10,10/23/2001,6447,6.5,Dry
2002,10,10/24/2001,6329,6.5,Dry
2002,10,10/25/2001,6589,6.5,Dry
2002,10,10/26/2001,6352,6.5,Dry
2002,10,10/27/2001,6342,6.5,Dry
2002,10,10/28/2001,6594,6.5,Dry
2002,10,10/29/2001,5383,6.5,Dry
2002,10,10/30/2001,7091,6.5,Dry
2002,10,10/31/2001,6275,6.5,Dry
2002,7,7/1/2002,5357,6.5,Dry
2002,7,7/2/2002,4403,6.5,Dry
2002,7,7/3/2002,4818,6.5,Dry
2002,7,7/4/2002,5336,6.5,Dry
2002,7,7/5/2002,5165,6.5,Dry
2002,7,7/6/2002,5387,6.5,Dry
2002,7,7/7/2002,5975,6.5,Dry
2002,7,7/8/2002,6389,6.5,Dry
2002,7,7/9/2002,5459,6.5,Dry
2002,7,7/10/2002,4980,6.5,Dry
2002,7,7/11/2002,5162,6.5,Dry
2002,7,7/12/2002,5250,6.5,Dry
2002,7,7/13/2002,5264,6.5,Dry
2002,7,7/14/2002,5398,6.5,Dry
2002,7,7/15/2002,5573,6.5,Dry
2002,7,7/16/2002,6225,6.5,Dry
2002,7,7/17/2002,6075,6.5,Dry
2002,7,7/18/2002,6142,6.5,Dry
2002,7,7/19/2002,6035,6.5,Dry
2002,7,7/20/2002,5404,6.5,Dry
2002,7,7/21/2002,4709,6.5,Dry
2002,7,7/22/2002,5584,6.5,Dry
2002,7,7/23/2002,5867,6.5,Dry
2002,7,7/24/2002,6306,6.5,Dry
2002,7,7/25/2002,6582,6.5,Dry
2002,7,7/26/2002,6533,6.5,Dry
2002,7,7/27/2002,6247,6.5,Dry
2002,7,7/28/2002,6242,6.5,Dry
2002,7,7/29/2002,6452,6.5,Dry
2002,7,7/30/2002,6508,6.5,Dry
2002,7,7/31/2002,6860,6.5,Dry
2002,8,8/1/2002,5228,6.5,Dry
2002,8,8/2/2002,4614,6.5,Dry
2002,8,8/3/2002,4119,6.5,Dry
2002,8,8/4/2002,4876,6.5,Dry
2002,8,8/5/2002,4647,6.5,Dry
2002,8,8/6/2002,4826,6.5,Dry
2002,8,8/7/2002,4828,6.5,Dry
2002,8,8/8/2002,4263,6.5,Dry
2002,8,8/9/2002,4018,6.5,Dry
2002,8,8/10/2002,3823,6.5,Dry
2002,8,8/11/2002,3573,6.5,Dry
2002,8,8/12/2002,3391,6.5,Dry
2002,8,8/13/2002,3855,6.5,Dry
2002,8,8/14/2002,4345,6.5,Dry
2002,8,8/15/2002,3558,6.5,Dry
2002,8,8/16/2002,4046,6.5,Dry
2002,8,8/17/2002,3992,6.5,Dry
2002,8,8/18/2002,3883,6.5,Dry
2002,8,8/19/2002,3514,6.5,Dry
2002,8,8/20/2002,4186,6.5,Dry
2002,8,8/21/2002,4472,6.5,Dry
2002,8,8/22/2002,4062,6.5,Dry
2002,8,8/23/2002,4156,6.5,Dry
2002,8,8/24/2002,3416,6.5,Dry
2002,8,8/25/2002,2758,6.5,Dry
2002,8,8/26/2002,2213,6.5,Dry
2002,8,8/27/2002,1789,6.5,Dry
2002,8,8/28/2002,2387,6.5,Dry
2002,8,8/29/2002,3913,6.5,Dry
2002,8,8/30/2002,3478,6.5,Dry
2002,8,8/31/2002,3077,6.5,Dry
2002,9,9/1/2002,3143,6.5,Dry
2002,9,9/2/2002,2654,6.5,Dry
2002,9,9/3/2002,2915,6.5,Dry
2002,9,9/4/2002,3454,6.5,Dry
2002,9,9/5/2002,3893,6.5,Dry
2002,9,9/6/2002,4217,6.5,Dry
2002,9,9/7/2002,4101,6.5,Dry
2002,9,9/8/2002,4051,6.5,Dry
2002,9,9/9/2002,3685,6.5,Dry
2002,9,9/10/2002,3651,6.5,Dry
2002,9,9/11/2002,3075,6.5,Dry
2002,9,9/12/2002,3481,6.5,Dry
2002,9,9/13/2002,3701,6.5,Dry
2002,9,9/14/2002,3982,6.5,Dry
2002,9,9/15/2002,3167,6.5,Dry
2002,9,9/16/2002,4127,6.5,Dry
2002,9,9/17/2002,3919,6.5,Dry
2002,9,9/18/2002,4187,6.5,Dry
2002,9,9/19/2002,3715,6.5,Dry
2002,9,9/20/2002,4580,6.5,Dry
2002,9,9/21/2002,5403,6.5,Dry
2002,9,9/22/2002,5260,6.5,Dry
2002,9,9/23/2002,5362,6.5,Dry
2002,9,9/24/2002,5077,6.5,Dry
2002,9,9/25/2002,4742,6.5,Dry
2002,9,9/26/2002,4332,6.5,Dry
2002,9,9/27/2002,5082,6.5,Dry
2002,9,9/28/2002,5025,6.5,Dry
2002,9,9/29/2002,5534,6.5,Dry
2002,9,9/30/2002,5553,6.5,Dry
2002,10,10/15/2001,3244,6.5,Dry
2005,10,10/1/2004,4941,7.4,Below Normal
2005,10,10/2/2004,5404,7.4,Below Normal
2005,10,10/3/2004,5558,7.4,Below Normal
2005,10,10/5/2004,5775,7.4,Below Normal
2005,10,10/6/2004,4413,7.4,Below Normal
2005,10,10/7/2004,4208,7.4,Below Normal
2005,10,10/4/2004,5311,7.4,Below Normal
2005,10,10/9/2004,5622,7.4,Below Normal
2005,10,10/10/2004,5411,7.4,Below Normal
2005,10,10/11/2004,5096,7.4,Below Normal
2005,10,10/8/2004,4585,7.4,Below Normal
2005,10,10/13/2004,4999,7.4,Below Normal
2005,10,10/14/2004,4909,7.4,Below Normal
2005,10,10/15/2004,4727,7.4,Below Normal
2005,10,10/16/2004,4596,7.4,Below Normal
2005,10,10/17/2004,5160,7.4,Below Normal
2005,10,10/18/2004,6441,7.4,Below Normal
2005,10,10/19/2004,14215,7.4,Below Normal
2005,10,10/20/2004,18234,7.4,Below Normal
2005,10,10/21/2004,17321,7.4,Below Normal
2005,10,10/22/2004,17136,7.4,Below Normal
2005,10,10/23/2004,17632,7.4,Below Normal
2005,10,10/24/2004,8609,7.4,Below Normal
2005,10,10/25/2004,7367,7.4,Below Normal
2005,10,10/26/2004,12266,7.4,Below Normal
2005,10,10/27/2004,13376,7.4,Below Normal
2005,10,10/28/2004,12470,7.4,Below Normal
2005,10,10/29/2004,13750,7.4,Below Normal
2005,10,10/30/2004,12507,7.4,Below Normal
2005,10,10/31/2004,7017,7.4,Below Normal
2005,7,7/1/2005,10530,7.4,Below Normal
2005,7,7/2/2005,9779,7.4,Below Normal
2005,7,7/3/2005,10318,7.4,Below Normal
2005,7,7/4/2005,11135,7.4,Below Normal
2005,7,7/5/2005,11316,7.4,Below Normal
2005,7,7/6/2005,11265,7.4,Below Normal
2005,7,7/7/2005,10605,7.4,Below Normal
2005,7,7/8/2005,10148,7.4,Below Normal
2005,7,7/9/2005,9752,7.4,Below Normal
2005,7,7/10/2005,9971,7.4,Below Normal
2005,7,7/11/2005,9408,7.4,Below Normal
2005,7,7/12/2005,8927,7.4,Below Normal
2005,7,7/13/2005,8726,7.4,Below Normal
2005,7,7/14/2005,8710,7.4,Below Normal
2005,7,7/15/2005,9678,7.4,Below Normal
2005,7,7/16/2005,10225,7.4,Below Normal
2005,7,7/17/2005,9841,7.4,Below Normal
2005,7,7/18/2005,9628,7.4,Below Normal
2005,7,7/19/2005,9628,7.4,Below Normal
2005,7,7/20/2005,9604,7.4,Below Normal
2005,7,7/21/2005,9047,7.4,Below Normal
2005,7,7/22/2005,9442,7.4,Below Normal
2005,7,7/23/2005,9203,7.4,Below Normal
2005,7,7/24/2005,9012,7.4,Below Normal
2005,7,7/25/2005,9033,7.4,Below Normal
2005,7,7/26/2005,8614,7.4,Below Normal
2005,7,7/27/2005,8428,7.4,Below Normal
2005,7,7/28/2005,8232,7.4,Below Normal
2005,7,7/29/2005,7750,7.4,Below Normal
2005,7,7/30/2005,7471,7.4,Below Normal
2005,7,7/31/2005,7247,7.4,Below Normal
2005,8,8/1/2005,6874,7.4,Below Normal
2005,8,8/2/2005,6620,7.4,Below Normal
2005,8,8/3/2005,6520,7.4,Below Normal
2005,8,8/4/2005,6277,7.4,Below Normal
2005,8,8/5/2005,6503,7.4,Below Normal
2005,8,8/6/2005,6216,7.4,Below Normal
2005,8,8/7/2005,6035,7.4,Below Normal
2005,8,8/8/2005,5992,7.4,Below Normal
2005,8,8/9/2005,6000,7.4,Below Normal
2005,8,8/10/2005,6065,7.4,Below Normal
2005,8,8/11/2005,6990,7.4,Below Normal
