Year,Station,Analyte,unit,Datetime,Mean,Wytype
2002,National Steel,Salinity,PSU,10/13/2002,5.781357974,Below Normal
2002,National Steel,Salinity,PSU,8/31/2002,6.14599974,Below Normal
2002,National Steel,Salinity,PSU,9/1/2002,5.864192975,Below Normal
2002,National Steel,Salinity,PSU,9/2/2002,5.755121573,Below Normal
2002,National Steel,Salinity,PSU,9/3/2002,5.997389624,Below Normal
2002,National Steel,Salinity,PSU,9/4/2002,6.29734683,Below Normal
2002,National Steel,Salinity,PSU,9/5/2002,6.2969856,Below Normal
2002,National Steel,Salinity,PSU,9/6/2002,6.441880329,Below Normal
2002,National Steel,Salinity,PSU,9/7/2002,6.569611429,Below Normal
2002,National Steel,Salinity,PSU,9/8/2002,6.68721404,Below Normal
2002,National Steel,Salinity,PSU,9/9/2002,6.840880644,Below Normal
2002,National Steel,Salinity,PSU,9/10/2002,7.047363751,Below Normal
2002,National Steel,Salinity,PSU,9/11/2002,7.235709026,Below Normal
2002,National Steel,Salinity,PSU,9/12/2002,7.350956573,Below Normal
2002,National Steel,Salinity,PSU,9/13/2002,7.373485367,Below Normal
2002,National Steel,Salinity,PSU,9/14/2002,7.284818724,Below Normal
2002,National Steel,Salinity,PSU,9/15/2002,7.306883426,Below Normal
2002,National Steel,Salinity,PSU,9/16/2002,7.243110066,Below Normal
2002,National Steel,Salinity,PSU,10/14/2002,5.78469144,Below Normal
2002,National Steel,Salinity,PSU,10/15/2002,5.870690726,Below Normal
2002,National Steel,Salinity,PSU,10/27/2002,6.064747364,Below Normal
2002,National Steel,Salinity,PSU,10/28/2002,5.525922825,Below Normal
2002,National Steel,Salinity,PSU,10/26/2002,5.495742482,Below Normal
2002,National Steel,Salinity,PSU,7/21/2002,5.306830259,Below Normal
2002,National Steel,Salinity,PSU,7/22/2002,5.341292923,Below Normal
2002,National Steel,Salinity,PSU,7/23/2002,5.360226843,Below Normal
2002,National Steel,Salinity,PSU,7/24/2002,5.279292291,Below Normal
2002,National Steel,Salinity,PSU,9/17/2002,7.294073831,Below Normal
2002,National Steel,Salinity,PSU,9/18/2002,7.454853025,Below Normal
2002,National Steel,Salinity,PSU,9/19/2002,7.571228286,Below Normal
2002,National Steel,Salinity,PSU,9/25/2002,7.651452673,Below Normal
2002,National Steel,Salinity,PSU,9/26/2002,5.879751222,Below Normal
2002,National Steel,Salinity,PSU,9/27/2002,5.780312449,Below Normal
2002,National Steel,Salinity,PSU,9/28/2002,5.007299953,Below Normal
2002,National Steel,Salinity,PSU,9/29/2002,4.949106162,Below Normal
2002,National Steel,Salinity,PSU,9/30/2002,5.056387257,Below Normal
2002,National Steel,Salinity,PSU,10/1/2002,5.097829025,Below Normal
2002,National Steel,Salinity,PSU,10/2/2002,5.374225478,Below Normal
2002,National Steel,Salinity,PSU,10/3/2002,4.26827112,Below Normal
2002,National Steel,Salinity,PSU,10/4/2002,3.98147236,Below Normal
2002,National Steel,Salinity,PSU,10/5/2002,3.946087665,Below Normal
2002,National Steel,Salinity,PSU,10/6/2002,3.700655172,Below Normal
2002,National Steel,Salinity,PSU,10/7/2002,3.649946999,Below Normal
2002,National Steel,Salinity,PSU,10/8/2002,4.043292491,Below Normal
2002,National Steel,Salinity,PSU,10/9/2002,4.888615571,Below Normal
2002,National Steel,Salinity,PSU,10/10/2002,5.353694867,Below Normal
2002,National Steel,Salinity,PSU,10/16/2002,5.957243937,Below Normal
2002,National Steel,Salinity,PSU,10/17/2002,6.072351039,Below Normal
2002,National Steel,Salinity,PSU,10/18/2002,6.096354301,Below Normal
2002,National Steel,Salinity,PSU,10/22/2002,6.302293886,Below Normal
2002,National Steel,Salinity,PSU,10/23/2002,6.290927537,Below Normal
2002,National Steel,Salinity,PSU,10/24/2002,5.634400289,Below Normal
2002,National Steel,Salinity,PSU,7/12/2002,4.643554444,Below Normal
2002,National Steel,Salinity,PSU,7/13/2002,4.753163108,Below Normal
2002,National Steel,Salinity,PSU,7/14/2002,4.773706825,Below Normal
2002,National Steel,Salinity,PSU,7/15/2002,4.781861711,Below Normal
2002,National Steel,Salinity,PSU,7/16/2002,4.744844119,Below Normal
2002,National Steel,Salinity,PSU,7/17/2002,4.724693888,Below Normal
2002,National Steel,Salinity,PSU,7/18/2002,4.767865468,Below Normal
2002,National Steel,Salinity,PSU,7/19/2002,4.888512143,Below Normal
2002,National Steel,Salinity,PSU,7/20/2002,5.014337344,Below Normal
2002,National Steel,Salinity,PSU,7/25/2002,5.234865775,Below Normal
2002,National Steel,Salinity,PSU,7/26/2002,5.242699216,Below Normal
2002,National Steel,Salinity,PSU,7/27/2002,5.240458303,Below Normal
2002,National Steel,Salinity,PSU,7/28/2002,5.188309601,Below Normal
2002,National Steel,Salinity,PSU,7/29/2002,4.922696247,Below Normal
2002,National Steel,Salinity,PSU,7/30/2002,4.78122763,Below Normal
2002,National Steel,Salinity,PSU,7/31/2002,4.629882202,Below Normal
2002,National Steel,Salinity,PSU,8/1/2002,4.465345907,Below Normal
2002,National Steel,Salinity,PSU,8/2/2002,4.440777824,Below Normal
2002,National Steel,Salinity,PSU,8/3/2002,4.482855687,Below Normal
2002,National Steel,Salinity,PSU,8/4/2002,4.504869781,Below Normal
2002,National Steel,Salinity,PSU,8/5/2002,4.447515696,Below Normal
2002,National Steel,Salinity,PSU,8/6/2002,4.527740443,Below Normal
2002,National Steel,Salinity,PSU,8/7/2002,4.628948445,Below Normal
2002,National Steel,Salinity,PSU,8/8/2002,4.779449877,Below Normal
2002,National Steel,Salinity,PSU,8/9/2002,4.903170641,Below Normal
2002,National Steel,Salinity,PSU,8/10/2002,5.313968944,Below Normal
2002,National Steel,Salinity,PSU,8/11/2002,5.574961959,Below Normal
2002,National Steel,Salinity,PSU,8/12/2002,5.638485146,Below Normal
2002,National Steel,Salinity,PSU,8/13/2002,5.565771854,Below Normal
2002,National Steel,Salinity,PSU,8/14/2002,5.590698248,Below Normal
2002,National Steel,Salinity,PSU,8/15/2002,5.647517124,Below Normal
2002,National Steel,Salinity,PSU,8/16/2002,5.725907619,Below Normal
2002,National Steel,Salinity,PSU,8/17/2002,5.821241031,Below Normal
2002,National Steel,Salinity,PSU,8/18/2002,5.841666391,Below Normal
2002,National Steel,Salinity,PSU,8/19/2002,5.897409378,Below Normal
2002,National Steel,Salinity,PSU,8/20/2002,5.930390327,Below Normal
2002,National Steel,Salinity,PSU,8/21/2002,5.93523843,Below Normal
2002,National Steel,Salinity,PSU,8/22/2002,6.091794804,Below Normal
2002,National Steel,Salinity,PSU,8/23/2002,6.081207937,Below Normal
2002,National Steel,Salinity,PSU,8/24/2002,5.971781015,Below Normal
2002,National Steel,Salinity,PSU,8/25/2002,5.884402957,Below Normal
2002,National Steel,Salinity,PSU,8/26/2002,5.849657143,Below Normal
2002,National Steel,Salinity,PSU,8/27/2002,6.196547937,Below Normal
2002,National Steel,Salinity,PSU,8/28/2002,6.588615664,Below Normal
2002,National Steel,Salinity,PSU,8/29/2002,6.675116644,Below Normal
2002,National Steel,Salinity,PSU,8/30/2002,6.446408298,Below Normal
2002,Collinsville,Salinity,PSU,7/8/2002,1.793818956,Below Normal
2002,Collinsville,Salinity,PSU,7/9/2002,1.806179361,Below Normal
2002,Collinsville,Salinity,PSU,7/10/2002,3.707995857,Below Normal
2002,Collinsville,Salinity,PSU,7/11/2002,NA,Below Normal
2002,Collinsville,Salinity,PSU,7/12/2002,NA,Below Normal
2002,Collinsville,Salinity,PSU,7/13/2002,NA,Below Normal
2002,Collinsville,Salinity,PSU,7/14/2002,NA,Below Normal
2002,Collinsville,Salinity,PSU,7/15/2002,2.277948648,Below Normal
2002,Collinsville,Salinity,PSU,7/16/2002,2.273715799,Below Normal
2002,Collinsville,Salinity,PSU,7/17/2002,2.193843176,Below Normal
2002,Collinsville,Salinity,PSU,7/18/2002,2.220586501,Below Normal
2002,Collinsville,Salinity,PSU,7/19/2002,2.432564947,Below Normal
2002,Collinsville,Salinity,PSU,7/20/2002,2.939610939,Below Normal
2002,Collinsville,Salinity,PSU,7/21/2002,3.707115501,Below Normal
2002,Collinsville,Salinity,PSU,7/22/2002,3.356436963,Below Normal
2002,Collinsville,Salinity,PSU,7/23/2002,3.149836652,Below Normal
2002,National Steel,Salinity,PSU,9/20/2002,7.668633994,Below Normal
2002,National Steel,Salinity,PSU,9/21/2002,7.911756362,Below Normal
2002,National Steel,Salinity,PSU,9/22/2002,7.864504287,Below Normal
2002,National Steel,Salinity,PSU,9/23/2002,7.808548854,Below Normal
2002,National Steel,Salinity,PSU,9/24/2002,7.860661861,Below Normal
2002,National Steel,Salinity,PSU,10/19/2002,6.109333161,Below Normal
2002,National Steel,Salinity,PSU,10/21/2002,6.154017426,Below Normal
2002,National Steel,Salinity,PSU,10/25/2002,5.461371992,Below Normal
2002,National Steel,Salinity,PSU,10/29/2002,5.569608219,Below Normal
2002,National Steel,Salinity,PSU,10/31/2002,5.180387942,Below Normal
2002,Hunter Cut,Salinity,PSU,8/8/2002,8.141472162,Below Normal
2002,Collinsville,Salinity,PSU,10/6/2002,3.804667262,Below Normal
2002,Collinsville,Salinity,PSU,10/7/2002,3.901285338,Below Normal
2002,Collinsville,Salinity,PSU,10/8/2002,NA,Below Normal
2002,Collinsville,Salinity,PSU,10/9/2002,NA,Below Normal
2002,Collinsville,Salinity,PSU,10/10/2002,NA,Below Normal
2002,Collinsville,Salinity,PSU,10/11/2002,NA,Below Normal
2002,Collinsville,Salinity,PSU,10/12/2002,NA,Below Normal
2002,Collinsville,Salinity,PSU,10/13/2002,NA,Below Normal
2002,Collinsville,Salinity,PSU,10/14/2002,NA,Below Normal
2002,Collinsville,Salinity,PSU,10/15/2002,5.013636131,Below Normal
2002,Collinsville,Salinity,PSU,10/16/2002,4.799217885,Below Normal
2002,Collinsville,Salinity,PSU,10/17/2002,4.406192428,Below Normal
2002,Collinsville,Salinity,PSU,10/18/2002,4.042005163,Below Normal
2002,Collinsville,Salinity,PSU,10/19/2002,3.763569611,Below Normal
2002,Collinsville,Salinity,PSU,10/20/2002,3.795801975,Below Normal
2002,Collinsville,Salinity,PSU,10/21/2002,4.034503975,Below Normal
2002,Collinsville,Salinity,PSU,10/22/2002,4.768704397,Below Normal
2002,Collinsville,Salinity,PSU,10/23/2002,4.514473678,Below Normal
2002,Collinsville,Salinity,PSU,10/24/2002,4.196957806,Below Normal
2002,Collinsville,Salinity,PSU,10/25/2002,4.174914892,Below Normal
2002,Collinsville,Salinity,PSU,10/26/2002,4.882044904,Below Normal
2002,Collinsville,Salinity,PSU,10/27/2002,4.373145083,Below Normal
2002,Collinsville,Salinity,PSU,10/28/2002,4.255882585,Below Normal
2002,Collinsville,Salinity,PSU,10/29/2002,4.069435181,Below Normal
2002,Collinsville,Salinity,PSU,10/30/2002,4.044909055,Below Normal
2002,Collinsville,Salinity,PSU,10/31/2002,3.97168487,Below Normal
2002,National Steel,Salinity,PSU,7/1/2002,3.608537099,Below Normal
2002,National Steel,Salinity,PSU,7/2/2002,3.652563381,Below Normal
2002,National Steel,Salinity,PSU,7/3/2002,3.433912875,Below Normal
2002,National Steel,Salinity,PSU,7/4/2002,3.376833857,Below Normal
2002,National Steel,Salinity,PSU,7/5/2002,3.518966913,Below Normal
2002,Collinsville,Salinity,PSU,7/24/2002,2.810476097,Below Normal
2002,Collinsville,Salinity,PSU,7/25/2002,2.709835327,Below Normal
2002,Collinsville,Salinity,PSU,7/26/2002,2.715429262,Below Normal
2002,Collinsville,Salinity,PSU,8/1/2002,2.031077376,Below Normal
2002,Collinsville,Salinity,PSU,8/2/2002,2.204307088,Below Normal
2002,Collinsville,Salinity,PSU,8/3/2002,2.628204411,Below Normal
2002,Collinsville,Salinity,PSU,8/4/2002,2.410490737,Below Normal
2002,Collinsville,Salinity,PSU,8/5/2002,2.18987349,Below Normal
2002,Collinsville,Salinity,PSU,8/6/2002,2.199541131,Below Normal
2002,Collinsville,Salinity,PSU,8/7/2002,2.152923107,Below Normal
2002,Collinsville,Salinity,PSU,8/8/2002,2.201373708,Below Normal
2002,Collinsville,Salinity,PSU,8/9/2002,2.238382859,Below Normal
2002,Collinsville,Salinity,PSU,8/10/2002,2.658761367,Below Normal
2002,Collinsville,Salinity,PSU,8/11/2002,2.953881999,Below Normal
2002,Collinsville,Salinity,PSU,8/12/2002,2.84882641,Below Normal
2002,Collinsville,Salinity,PSU,8/13/2002,2.985518858,Below Normal
2002,Collinsville,Salinity,PSU,8/14/2002,3.108371323,Below Normal
