SampleNo,Station,Year,Month,Date,Microcystis,Region,Acartiella,Tortanus,Limnoithona,Pseudodiaptomus,Other_Calanoids,Other_Cyclopoids,Other
1,513,2018,Oct,10/5/2018,1,River,8339.702704,211.7102545,1.180965444,217.9414011,0,0,0
2,513,2018,Sep,9/24/2018,2,River,5978.1685,0,15.17124809,1413.229854,0,0,0.561898077
3,513,2018,Oct,10/22/2018,1,River,2984.747668,167.7509337,5.825637962,773.3851005,0,4.432550623,0.263842299
4,513,2018,Aug,8/8/2018,2,River,1720.275685,0,1.235743461,937.1581087,0,62.43756435,28.33847787
5,513,2018,Jul,7/25/2018,2,River,1407.34353,0,2.018937331,403.8254162,0,38.25354944,8.348988964
6,513,2018,Aug,8/22/2018,1,River,1265.967855,0,0.599587362,415.7529754,0,16.05361351,0.450817566
7,513,2018,Sep,9/10/2018,2,River,3507.715604,29.84983032,1.998000721,1479.677271,0,18.92842788,11.26692136
8,513,2018,Jul,7/11/2018,2,River,1389.824858,0,2.856981547,1921.567123,0,27.06614097,5.907292673
9,520,2018,Jul,7/26/2018,2,River,3142.227966,27.68599414,4.911581749,523.9856546,0,0,0
10,520,2018,Oct,10/22/2018,1,River,9324.6432,0,5.219657385,8353.943909,14.15783009,82.41564293,19.62277213
11,520,2018,Oct,10/9/2018,1,River,11966.3278,0,19.62144538,1948.080043,0,82.61661213,11.47452946
12,520,2018,Sep,9/24/2018,1,River,1222.100297,0,0.846180042,843.8196447,0,0,8.270932738
13,520,2018,Jul,7/11/2018,2,River,1433.759001,0,0,3608.256828,0,6.693999204,11.95357001
14,520,2018,Aug,8/22/2018,1,River,3002.250022,135.4663213,1.335138003,225.6326411,0,3.562261821,4.923913203
15,520,2018,Sep,9/13/2018,1,River,2948.919384,146.1192835,0,281.9721962,0,0,3.677066875
16,520,2018,Aug,8/8/2018,2,River,4143.190876,37.0730709,4.962977786,444.3544321,0,39.18140357,12.1275773
17,606,2018,Jul,7/26/2018,1,Suisun Marsh,3684.534874,773.1369296,3.703232172,112.3716284,24.20182982,5.635353305,11.74031938
18,606,2018,Jul,7/12/2018,1,Suisun Marsh,1675.920014,501.2497267,2.236858545,2316.149294,49.30338966,14.12752765,37.00066766
19,606,2018,Aug,8/23/2018,1,Suisun Marsh,671.6271458,53.20195418,0.178053848,303.4037564,5.795451928,11.24550617,8.701879772
20,606,2018,Oct,10/4/2018,1,Suisun Marsh,3183.78272,681.0172016,1.09546102,59.26914564,0,11.29064119,2.184201421
21,606,2018,Sep,9/7/2018,1,Suisun Marsh,1619.829293,111.2296813,13.77390628,354.5500323,0,0,11.47592273
22,606,2018,Aug,8/9/2018,2,Suisun Marsh,2018.992897,33.94758503,0,568.9338476,12.32671495,7.17563448,5.5525743
23,609,2018,Jul,7/26/2018,1,Suisun Marsh,1014.438143,130.2261116,12.85794427,655.5134826,42.12113442,68.81601267,103.6336381
24,609,2018,Jul,7/12/2018,1,Suisun Marsh,1113.120699,500.6586389,54.17988123,2606.839184,30.29999752,27.51252374,114.4386601
25,609,2018,Oct,10/22/2018,1,Suisun Marsh,1630.615602,205.3253612,9.907596697,296.4011914,37.27943164,14.4674163,26.26524983
26,609,2018,Aug,8/9/2018,1,Suisun Marsh,817.316073,0,16.64881775,232.2559829,0,0,38.23100648
27,609,2018,Aug,8/23/2018,2,Suisun Marsh,505.9548523,153.0924439,3.202367814,163.3255741,13.89779475,16.18038475,9.631181396
28,609,2018,Sep,9/13/2018,1,Suisun Marsh,1393.944536,31.94178258,1.069012854,548.098162,0,0,4.018845317
29,609,2018,Sep,9/24/2018,1,Suisun Marsh,2051.94485,83.51812036,13.27777856,299.5513081,22.746143,2.112254444,126.1047429
30,610,2018,Jul,7/26/2018,1,Suisun Marsh,1324.250206,190.9779861,10.65327551,375.5159469,5.779201717,0,21.62695029
